airport,country_code,latitude,longitude
due,ao,-7.40089,20.81850
vpe,ao,-17.04350,15.68380
msz,ao,-15.26120,12.14680
kou,ga,-1.18461,12.44130
mjl,ga,-1.84514,11.05670
tch,ga,-2.85000,11.01700
vpy,mz,-19.15130,33.42900
srh,td,9.14444,18.37440
cmk,mw,-14.30690,35.13250
boa,cd,-5.85400,13.06400
mat,cd,-5.79961,13.44040
ino,cd,-1.94722,18.28580
nio,cd,-2.71750,17.68470
krz,cd,-1.43500,19.02400
bsu,cd,1.22472,19.78890
tsh,cd,-6.43833,20.79470
lja,cd,-3.41700,23.45000
pfr,cd,-4.32992,20.59012
gmz,es,28.02960,-17.21460
bte,sl,7.53242,-12.51890
kbs,sl,7.94440,-11.76100
ken,sl,7.89129,-11.17660
oxb,gw,11.89480,-15.65370
smw,eh,26.73180,-11.68470
vil,eh,23.71830,-15.93200
esu,ma,31.39750,-9.68167
eun,eh,27.15170,-13.21920
ndr,ma,34.98880,-3.02821
rai,cv,14.92450,-23.49350
sfl,cv,14.88500,-24.48000
bco,et,5.78287,36.56200
bei,et,9.38639,34.52190
dse,et,11.08250,39.71140
dem,et,8.55400,34.85800
gde,et,5.93513,43.57860
gor,et,8.16140,35.55290
abk,et,6.73400,44.25300
mtf,et,6.95710,35.55470
tie,et,7.20240,35.41500
alu,so,11.95820,50.74800
bsa,so,11.27530,49.14940
mgq,so,2.01444,45.30470
glk,so,6.78083,47.45470
buo,so,9.52750,45.55490
aac,eg,31.07330,33.83580
atz,eg,27.04650,31.01200
asv,ke,-2.64505,37.25310
lkg,ke,4.20412,34.34820
myd,ke,-3.22931,40.10170
nyk,ke,-0.06240,37.04101
srx,ly,31.06350,16.59500
tob,ly,31.86100,23.90700
mji,ly,32.89410,13.27600
laq,ly,32.78870,21.96430
atb,sd,17.71034,34.05702
uyl,sd,12.05350,24.95620
pzu,sd,19.43360,37.23410
bkz,tz,-1.33200,31.82120
tkq,tz,-4.88620,29.67090
ldi,tz,-9.85111,39.75780
muz,tz,-1.50300,33.80210
shy,tz,-3.60930,33.50350
tbo,tz,-5.07639,32.83330
rua,ug,3.05000,30.91700
ulu,ug,2.80556,32.27180
diu,in,20.71310,70.92110
abr,us,45.44910,-98.42180
aby,us,31.53550,-84.19450
ahn,us,33.94860,-83.32630
alm,us,32.83990,-105.99100
alo,us,42.55710,-92.40030
alw,us,46.09490,-118.28800
apn,us,45.07810,-83.56030
aty,us,44.91400,-97.15470
bfd,us,41.80310,-78.64010
bff,us,41.87400,-103.59600
bkw,us,37.78730,-81.12420
bqk,us,31.25880,-81.46650
brl,us,40.78320,-91.12550
cec,us,41.78020,-124.23700
cgi,us,37.22530,-89.57080
ciu,us,46.25080,-84.47240
ckb,us,39.29660,-80.22810
clm,us,48.12020,-123.50000
cmx,us,47.16840,-88.48910
ddc,us,37.76340,-99.96560
duj,us,41.17830,-78.89870
eau,us,44.86580,-91.48430
eko,us,40.82490,-115.79200
ewb,us,41.67610,-70.95690
fay,us,34.99120,-78.88030
ggw,us,48.21250,-106.61500
gri,us,40.96750,-98.30960
hot,us,34.47800,-93.09620
hts,us,38.36670,-82.55800
kio,mh,5.64452,169.11951
irk,us,40.09350,-92.54490
jms,us,46.92970,-98.67820
lar,us,41.31210,-105.67500
lbe,us,40.27590,-79.40480
lbf,us,41.12620,-100.68400
leb,us,43.62610,-72.30420
lmt,us,42.15610,-121.73300
lns,us,40.12170,-76.29610
lwt,us,47.04930,-109.46700
lyh,us,37.32670,-79.20040
mkg,us,43.16950,-86.23820
mls,us,46.42800,-105.88600
msl,us,34.74530,-87.61020
oth,us,43.41710,-124.24600
owb,us,37.74010,-87.16680
pib,us,31.46710,-89.33710
pih,us,42.90980,-112.59600
pir,us,44.38270,-100.28600
pln,us,45.57090,-84.79670
psm,us,43.07790,-70.82330
rdg,us,40.37850,-75.96520
rhi,us,45.63120,-89.46750
rks,us,41.59420,-109.06500
rut,us,43.52940,-72.94960
sbp,us,35.23680,-120.64200
shr,us,44.76920,-106.98000
slk,us,44.38530,-74.20620
sln,us,38.79100,-97.65220
smx,us,34.89890,-120.45700
tup,us,34.26810,-88.76990
uin,us,39.94270,-91.19460
vct,us,28.85260,-96.91850
vld,us,30.78250,-83.27670
wrl,us,43.96570,-107.95100
ykm,us,46.56820,-120.54400
ecn,cy,35.15470,33.49610
rjl,es,42.46095,-2.32224
idy,fr,46.71860,-2.39111
ane,fr,47.56030,-0.31222
ltt,fr,43.20540,6.48200
jsy,gr,37.42280,24.95090
pev,hu,45.99090,18.24100
qgy,hu,47.62440,17.81360
sob,hu,46.68639,17.15908
aot,it,45.73850,7.36872
qsr,it,40.62040,14.91130
cvu,pt,39.67150,-31.11360
bnx,ba,44.94140,17.29750
usq,tr,38.68150,29.47170
ksy,tr,40.56220,43.11500
sfq,tr,37.09430,38.84710
kcm,tr,37.53883,36.95352
aji,tr,39.65454,43.02598
adf,tr,37.73140,38.46890
ise,tr,37.85540,30.36840
edo,tr,39.55460,27.01380
szf,tr,41.25450,36.56710
ilz,sk,49.23150,18.61350
gdt,tc,21.44450,-71.14230
mds,tc,21.82602,-71.80250
slx,tc,21.33300,-71.20000
azs,do,19.26700,-69.74200
jbq,do,18.57250,-69.98560
pbr,gt,15.73090,-88.58380
aaz,gt,14.86560,-91.50200
utk,mh,11.22200,169.85200
ahs,hn,15.47220,-84.35220
peu,hn,15.26220,-83.78120
mij,mh,6.08333,171.73300
cyw,mx,20.54600,-100.88700
cua,mx,25.05380,-111.61500
gub,mx,28.02610,-114.02400
jal,mx,19.47510,-96.79750
ctd,pa,7.98784,-80.40970
onx,pa,9.35664,-79.86740
jqe,pa,7.51778,-78.15720
plp,pa,8.40667,-78.14170
ttq,cr,10.42000,-83.60950
bcl,cr,10.76870,-83.58560
tno,cr,10.35570,-85.85290
pbp,cr,9.85611,-85.37080
pjm,cr,8.53333,-83.30000
syq,cr,9.95705,-84.13980
mrsr,cr,10.25000,-85.41700
jee,ht,18.66310,-74.17030
pax,ht,19.93360,-72.84860
muoc,cu,22.51320,-78.51100
tnd,cu,21.78830,-79.99720
cox,bs,24.15870,-77.58980
atc,bs,24.62940,-75.67380
cat,bs,24.31530,-75.45230
cri,bs,22.74560,-74.18240
pid,bs,25.08300,-77.30000
aiu,ck,-19.96780,-158.11900
mgs,ck,-21.89599,-157.90666
mhx,ck,-10.37670,-161.00200
muk,ck,-20.13610,-157.34500
moi,ck,-19.84250,-157.70300
pye,ck,-9.01437,-158.03241
ici,fj,-17.74330,-179.34200
ptf,fj,-17.77790,177.19701
kdv,fj,-19.05810,178.15700
mnf,fj,-17.67310,177.09801
mfj,fj,-18.56670,179.95100
ngi,fj,-18.11560,179.34000
lkb,fj,-18.19920,-178.81700
lbs,fj,-16.46670,179.34000
tvu,fj,-16.69060,-179.87700
kxf,fj,-17.34580,179.42200
rta,fj,-12.48250,177.07100
svu,fj,-16.80280,179.34100
eua,to,-21.37830,-174.95799
hpa,to,-19.77700,-174.34100
nfo,to,-15.57080,-175.63300
ntt,to,-15.97734,-173.79103
vbv,fj,-17.26900,-178.97600
iue,nu,-19.07903,-169.92560
fut,wf,-14.31140,-178.06599
mxs,ws,-13.74230,-172.25800
apk,pf,-15.57360,-146.41499
ahe,pf,-14.42810,-146.25700
auq,pf,-9.76879,-139.01100
uap,pf,-9.35167,-140.07800
uah,pf,-8.93611,-139.55200
mtv,vu,-13.66600,167.71201
slh,vu,-13.85170,167.53700
toh,vu,-13.32800,166.63800
eae,vu,-17.09030,168.34300
ccv,vu,-16.26500,167.92400
lod,vu,-15.30670,167.96700
ssr,vu,-15.47080,168.15199
pbj,vu,-16.43900,168.25700
lpm,vu,-16.45400,167.82300
lnb,vu,-16.58420,168.15900
mwf,vu,-15.00000,168.08299
lne,vu,-15.86560,168.17200
nus,vu,-16.07970,167.40100
zgu,vu,-14.21810,167.58701
rcl,vu,-15.47200,167.83501
son,vu,-15.50500,167.22000
tgh,vu,-16.89110,168.55099
ulb,vu,-16.32970,168.30110
vls,vu,-16.79610,168.17700
swj,vu,-16.48640,167.44720
olz,vu,-14.88170,166.55800
auy,vu,-20.24920,169.77100
awd,vu,-19.23460,169.60090
dly,vu,-18.76940,169.00101
fta,vu,-19.51640,170.23199
ipa,vu,-18.85639,169.28333
tgj,nc,-21.09610,167.80400
bmy,nc,-19.72060,163.66100
ilp,nc,-22.58890,167.45599
fbd,af,37.12110,70.51810
dwd,sa,24.50000,44.40000
ajf,sa,29.78510,40.10000
ewd,sa,20.50430,45.19960
khd,ir,33.43540,48.28290
bxr,ir,29.08420,58.45000
rjn,ir,30.29770,56.05110
bjb,ir,37.49300,57.30820
afz,ir,36.16810,57.59520
nsh,ir,36.66330,51.46470
sry,ir,36.63580,53.19360
lrr,ir,27.67470,54.38330
adu,ir,38.32570,48.42440
omh,ir,37.66810,45.06870
aan,ae,24.26170,55.60920
bnp,pk,32.97290,70.52790
bhv,pk,29.34810,71.71800
cjl,pk,35.88660,71.80060
dba,pk,28.87830,64.39980
dea,pk,29.96100,70.48590
dsk,pk,31.90940,70.89660
jiw,pk,25.06780,61.80540
hdd,pk,25.31810,68.36610
kdd,pk,27.79060,66.64730
orw,pk,25.27470,64.58600
paj,pk,33.90210,70.07160
kdu,pk,35.33550,75.53600
syw,pk,26.47310,67.71720
tuk,pk,25.98640,63.03020
isu,iq,35.56175,45.31674
kac,sy,37.02060,41.19140
gxf,ye,15.96610,48.78830
adk,us,51.87800,-176.64600
gst,us,58.42530,-135.70700
sgy,us,59.46010,-135.31599
hcr,us,62.18830,-159.77499
hns,us,59.24380,-135.52400
klg,us,61.53630,-160.34100
mcg,us,62.95290,-155.60600
mou,us,62.09540,-163.68201
ani,us,61.58160,-159.54300
vak,us,61.54090,-165.60050
wrg,us,56.48430,-132.37000
lup,us,21.21100,-156.97400
ent,mh,11.34070,162.32800
lzn,tw,26.15980,119.95800
hcn,tw,22.04110,120.73000
mfk,tw,26.22420,120.00300
kuh,jp,43.04100,144.19299
okd,jp,43.11610,141.38000
hsg,jp,33.14970,130.30200
nkm,jp,35.25500,136.92400
iwj,jp,34.67640,131.78999
fks,jp,37.22740,140.43100
onj,jp,40.19190,140.37100
syo,jp,38.81220,139.78700
mye,jp,34.07360,139.56000
kuv,kr,35.90380,126.61600
mpk,kr,34.75890,126.38000
wju,kr,37.43810,127.96000
yny,kr,38.06130,128.66901
hin,kr,35.08850,128.07001
cjj,kr,36.71660,127.49900
sfs,ph,14.79440,120.27100
cyu,ph,10.85810,121.06900
rpmb,ph,6.10644,125.23500
cgm,ph,9.25352,124.70700
jol,ph,6.05367,121.01100
sgs,ph,5.04699,119.74300
sug,ph,9.75584,125.48095
tdg,ph,9.07211,126.17100
wnp,ph,13.58490,123.27000
bso,ph,20.45130,121.98000
sfe,ph,16.59560,120.30300
tug,ph,17.64337,121.73315
vrc,ph,13.57640,124.20600
cyp,ph,12.07270,124.54500
crm,ph,12.50240,124.63600
mbt,ph,12.36940,123.62900
rxs,ph,11.59770,122.75200
ttg,ar,-22.61960,-63.79370
lhs,ar,-46.53830,-68.96530
oes,ar,-40.75120,-65.03430
ing,ar,-50.33610,-72.24860
ggs,ar,-48.78310,-70.15000
sst,ar,-36.54230,-56.72180
nec,ar,-38.48310,-58.81720
jdo,br,-7.21896,-39.27010
lec,br,-12.48230,-41.27700
mea,br,-22.34300,-41.76600
mii,br,-22.19690,-49.92640
vdc,br,-14.86280,-40.86310
ria,br,-29.71140,-53.68820
tow,br,-24.68630,-53.69750
esr,cl,-26.31110,-69.76520
zpc,cl,-39.29280,-71.91590
sod,br,-23.47800,-47.49000
scy,ec,-0.91021,-89.61740
loh,ec,-3.99589,-79.37190
esm,ec,0.97852,-79.62660
psy,fk,-51.68570,-57.77760
crc,co,4.75818,-75.95570
glj,co,2.14640,-75.69440
lqm,co,-0.18228,-74.77080
lpd,co,-1.32861,-69.57970
nqu,co,5.69640,-77.28060
pda,co,3.85353,-67.90620
eyp,co,5.31911,-72.38400
gya,bo,-10.82060,-65.34560
pur,bo,-11.10766,-67.55116
rib,bo,-11.00000,-66.00000
rey,bo,-14.30440,-67.35340
srj,bo,-14.85920,-66.73750
org,sr,5.81108,-55.19070
mvs,br,-18.04890,-39.86420
lhc,pe,-3.91686,-70.50820
cja,pe,-7.13918,-78.48940
huu,pe,-9.87881,-76.20480
nzc,pe,-14.85400,-74.96150
sra,br,-27.90670,-54.52040
mdo,uy,-34.91700,-54.91700
myc,ve,10.24998,-67.64942
vig,ve,8.62414,-71.67267
jpr,br,-10.87080,-61.84650
bbq,ag,17.63580,-61.82860
dsd,gp,16.29690,-61.08440
bbr,gp,16.01330,-61.74220
sfc,gp,16.25780,-61.26250
gbj,gp,15.86870,-61.27000
nev,kn,17.20570,-62.58990
vij,vg,18.44640,-64.42750
bqu,vc,12.98840,-61.26200
uni,vc,12.60013,-61.41195
kov,kz,53.32910,69.59460
ppk,kz,54.77470,69.18390
dzn,kz,47.70830,67.73330
ukk,kz,50.03660,82.49420
ksn,kz,53.20690,63.55030
kvd,az,40.73770,46.31760
naj,az,39.18880,45.45840
cnn,ru,56.91390,124.91400
pyj,ru,66.40040,112.03000
ckh,ru,70.62310,147.90199
cyx,ru,68.74060,161.33800
iks,ru,71.69770,128.90300
kxk,ru,50.40900,136.93401
dyr,ru,64.73490,177.74100
oho,ru,59.41006,143.05650
uje,mh,8.92806,165.76199
mpw,ua,47.07610,37.44960
vsg,ua,48.41740,39.37410
ozh,ua,47.86700,35.31570
kwg,ua,48.04330,33.21000
hrk,ua,49.92480,36.29000
ifo,ua,48.88420,24.68610
cwc,ua,48.25930,25.98080
rwn,ua,50.60710,26.14160
udj,ua,48.63430,22.26340
csh,ru,65.03000,35.73333
cee,ru,59.27360,38.01580
amv,ru,69.76330,61.55640
ksz,ru,61.23580,46.69750
pes,ru,61.88520,34.15470
gna,by,53.60200,24.05380
mvq,by,53.95490,30.09510
eie,ru,58.47420,92.11250
kyz,ru,51.66940,94.40060
noz,ru,53.81140,86.87720
htg,ru,71.97810,102.49100
iaa,ru,67.43720,86.62190
grv,ru,43.29810,45.78410
nal,ru,43.51290,43.63660
ogz,ru,43.20510,44.60660
esl,ru,46.37390,44.33090
wkk,us,59.28260,-158.61800
blf,us,37.29580,-81.20770
glh,us,33.48290,-90.98560
psc,us,46.26470,-119.11900
kqa,us,54.13377,-165.77890
lps,us,48.48390,-122.93800
sly,ru,66.59080,66.61100
hma,ru,61.02850,69.08610
nya,ru,62.11000,65.61500
ovs,ru,61.32662,63.60191
ijk,ru,56.82810,53.45750
kvx,ru,58.50330,49.34830
nym,ru,65.48090,72.69890
rat,ru,62.15860,77.32890
nfg,ru,61.10830,72.65000
kro,ru,55.47530,65.41560
lbd,tj,40.21540,69.69470
azn,uz,40.72770,72.29400
feg,uz,40.35880,71.74500
nma,uz,40.98460,71.55670
ncu,uz,42.48840,59.62330
ugc,uz,41.58430,60.64170
ksq,uz,38.83360,65.92150
tmj,uz,37.28670,67.31000
ryb,ru,58.10420,38.92940
ego,ru,50.64380,36.59010
urs,ru,51.75060,36.29560
lpk,ru,52.70280,39.53780
vkt,ru,67.48860,63.99310
uua,ru,54.64000,52.80170
jok,ru,56.70060,47.90470
csy,ru,56.09030,47.34730
uly,ru,54.40100,48.80270
osw,ru,51.07250,58.59560
pez,ru,53.11060,45.02110
skx,ru,54.12513,45.21226
bwo,ru,51.85830,47.74560
hbx,in,15.36170,75.08490
kct,lk,5.99368,80.32030
wrz,lk,6.25449,81.23520
bbm,kh,13.09560,103.22400
shl,in,25.70360,91.97870
gau,in,26.10610,91.58590
dmu,in,25.88390,93.77110
tez,in,26.70910,92.78470
bzl,bd,22.80100,90.30120
oui,la,20.25730,100.43700
bhr,np,27.67810,84.42940
bdp,np,26.57080,88.07960
mey,np,27.57740,84.22875
kep,np,28.10360,81.66700
gan,mv,-0.69334,73.15560
haq,mv,6.74423,73.17050
kdo,mv,1.85917,73.52190
maq,th,16.69990,98.54510
bmv,vn,12.66830,108.12000
hph,vn,20.81940,106.72500
cxr,vn,11.99820,109.21900
vcs,vn,8.73183,106.63300
vca,vn,10.08510,105.71200
din,vn,21.39750,103.00800
uih,vn,13.95500,109.04200
pxu,vn,14.00450,108.01700
vii,vn,18.73760,105.67100
bmo,mm,24.26900,97.24620
tvy,mm,14.10390,98.20360
kaw,mm,10.04930,98.53800
liw,mm,19.69150,97.21480
mnu,mm,16.44470,97.66070
bsx,mm,16.81520,94.77990
pkk,mm,21.40430,95.11125
swq,id,-8.48904,117.41200
tmc,id,-9.40972,119.24400
bui,id,-3.68220,138.67550
seh,id,-3.45000,140.77900
tjs,id,2.83583,117.37361
dtd,id,0.81060,114.53060
bej,id,2.15550,117.43200
tjg,id,-2.21656,115.43600
smq,id,-2.49919,112.97500
luv,id,-5.66162,132.73100
ard,id,-8.13234,124.59700
blg,my,2.65000,113.76700
lgl,my,3.42100,115.15400
odn,my,3.96700,115.05000
mkm,my,2.90639,112.08000
bkm,my,3.97400,115.61800
lwy,my,4.84917,115.40800
bbn,my,3.73389,115.47900
tmg,my,5.40000,118.65000
kud,my,6.92250,116.83600
tkg,id,-5.24056,105.17556
hlp,id,-6.26661,106.89100
ntx,id,3.90871,108.38800
psu,id,0.83558,112.93700
sqg,id,0.06362,111.47300
pdo,id,-3.28607,103.88000
lsw,id,5.22668,96.95030
pkg,my,4.24472,100.55300
lbw,id,3.90280,115.69210
nnx,id,4.13333,117.66667
lpu,id,1.70449,114.97030
alh,au,-34.94330,117.80900
gyl,au,-16.63690,128.45100
auu,au,-13.35407,141.72065
bci,au,-23.56530,145.30701
bdd,au,-10.15000,142.17340
bvi,au,-25.89750,139.34801
bhq,au,-32.00140,141.47200
hti,au,-20.35810,148.95200
beu,au,-24.34610,139.46001
brk,au,-30.03920,145.95200
buc,au,-17.74860,139.53400
gic,au,-9.23278,142.21800
oky,au,-27.41140,151.73500
bql,au,-22.91330,139.89999
bhs,au,-33.40940,149.65199
blt,au,-23.60310,148.80701
cvq,au,-24.88021,113.67174
caz,au,-31.53830,145.79401
cpd,au,-29.04000,134.72099
cnc,au,-10.05000,143.07001
cnj,au,-20.66860,140.50400
ced,au,-32.13060,133.71001
ctn,au,-15.44470,145.18401
cma,au,-28.03000,145.62199
cnb,au,-30.98330,148.37601
cuq,au,-13.76113,143.11331
oom,au,-36.30060,148.97400
dmd,au,-17.94030,138.82201
nlf,au,-9.58333,143.76700
dpo,au,-41.16970,146.42999
elc,au,-12.01940,135.57100
epr,au,-33.68440,121.82300
fls,au,-40.09170,147.99300
get,au,-28.79610,114.70700
glt,au,-23.86970,151.22301
gte,au,-13.97500,136.46001
gff,au,-34.25080,146.06700
hid,au,-10.58640,142.28999
hok,au,-18.33670,130.63800
mhu,au,-37.04750,147.33400
hgd,au,-20.81500,144.22501
jck,au,-20.66830,141.72301
kax,au,-27.69281,114.25917
kns,au,-39.87750,143.87801
kfg,au,-17.43190,130.80800
krb,au,-17.45670,140.83000
kwm,au,-15.48560,141.75101
kug,au,-10.22500,142.21800
lno,au,-28.87810,121.31500
lel,au,-12.49890,135.80600
ldh,au,-31.53830,159.07700
irg,au,-12.78690,143.30499
lsy,au,-28.83030,153.25999
lhg,au,-29.45670,147.98399
lre,au,-23.43420,144.28000
ler,au,-27.84330,120.70300
lvo,au,-28.61360,122.42400
ubb,au,-9.95000,142.18300
mkr,au,-26.61170,118.54800
mim,au,-36.90860,149.90100
mgt,au,-12.09440,134.89400
mng,au,-12.05610,134.23399
mcv,au,-16.44250,136.08400
mql,au,-34.22920,142.08600
mmg,au,-28.11610,117.84200
mrz,au,-29.49890,149.84500
mov,au,-22.05780,148.07700
mya,au,-35.89780,150.14400
mgb,au,-37.74560,140.78500
ong,au,-16.66250,139.17799
myi,au,-9.91667,144.05499
mbh,au,-25.51330,152.71500
nra,au,-34.70220,146.51199
naa,au,-30.31920,149.82700
ntn,au,-17.68409,141.06966
zne,au,-23.41780,119.80300
olp,au,-30.48500,136.87700
pug,au,-32.50690,137.71700
pmk,au,-18.75530,146.58099
